wavelength_nm, transmission
1.574734734734734729e+03,9.899627631367417802e-02
1.574834834834834737e+03,1.033445298819573449e-01
1.574934934934934972e+03,1.079759531856800264e-01
1.575035035035034980e+03,1.129144597765271985e-01
1.575135135135135215e+03,1.181863859130117822e-01
1.575235235235235223e+03,1.238207660394035209e-01
1.575335335335335230e+03,1.298496405169306811e-01
1.575435435435435465e+03,1.363083987614633064e-01
1.575535535535535473e+03,1.432361608975752376e-01
1.575635635635635708e+03,1.506762007953978133e-01
1.575735735735735716e+03,1.586764128147539477e-01
1.575835835835835951e+03,1.672898235951677803e-01
1.575935935935935959e+03,1.765751485965333656e-01
1.576036036036035966e+03,1.865973905348558559e-01
1.576136136136136201e+03,1.974284729730356458e-01
1.576236236236236209e+03,2.091478965883428465e-01
1.576336336336336444e+03,2.218433973108994983e-01
1.576436436436436452e+03,2.356115736308916075e-01
1.576536536536536460e+03,2.505584336130147749e-01
1.576636636636636695e+03,2.667997888395553518e-01
1.576736736736736702e+03,2.844613905118333896e-01
1.576836836836836937e+03,3.036786596833582763e-01
1.576936936936936945e+03,3.245958061380811444e-01
1.577037037037036953e+03,3.473640557825375397e-01
1.577137137137137188e+03,3.721386122469639846e-01
1.577237237237237196e+03,3.990738644037514771e-01
1.577337337337337431e+03,4.283162219282912186e-01
1.577437437437437438e+03,4.599938286696056977e-01
1.577537537537537446e+03,4.942022961890200627e-01
1.577637637637637681e+03,5.309855685705436867e-01
1.577737737737737689e+03,5.703111594065083390e-01
1.577837837837837924e+03,6.120394193853343490e-01
1.577937937937937932e+03,6.558873646692907622e-01
1.578038038038037939e+03,7.013891010822611571e-01
1.578138138138138174e+03,7.478571331783152587e-01
1.578238238238238182e+03,7.943517603979440844e-01
1.578338338338338417e+03,8.396688308399383738e-01
1.578438438438438425e+03,8.823582311276917389e-01
1.578538538538538432e+03,9.207849084310321119e-01
1.578638638638638668e+03,9.532390687486870240e-01
1.578738738738738675e+03,9.780915521306089433e-01
1.578838838838838910e+03,9.939757434742421127e-01
1.578938938938938918e+03,9.999634434945647854e-01
1.579039039039038926e+03,9.956956369233302961e-01
1.579139139139139161e+03,9.814353262677992795e-01
1.579239239239239168e+03,9.580283827080299242e-01
1.579339339339339404e+03,9.267829074670449474e-01
1.579439439439439411e+03,8.892978073236147418e-01
1.579539539539539646e+03,8.472795730950823945e-01
1.579639639639639654e+03,8.023814278806882250e-01
1.579739739739739662e+03,7.560857642353926433e-01
1.579839839839839897e+03,7.096358955609096686e-01
1.579939939939939904e+03,6.640117466332152718e-01
1.580040040040040140e+03,6.199381547047133623e-01
1.580140140140140147e+03,5.779132946420190153e-01
1.580240240240240155e+03,5.382465611238984593e-01
1.580340340340340390e+03,5.010982447192638967e-01
1.580440440440440398e+03,4.665163134621337915e-01
1.580540540540540633e+03,4.344679732344909340e-01
1.580640640640640640e+03,4.048652908528361238e-01
1.580740740740740648e+03,3.775851188304646389e-01
1.580840840840840883e+03,3.524840354159845535e-01
1.580940940940940891e+03,3.294091781364754112e-01
1.581041041041041126e+03,3.082058365625200969e-01
1.581141141141141134e+03,2.887225709304847565e-01
1.581241241241241141e+03,2.708144931305224157e-01
1.581341341341341376e+03,2.543452160286781560e-01
1.581441441441441384e+03,2.391878607389150702e-01
1.581541541541541619e+03,2.252254145383460748e-01
1.581641641641641627e+03,2.123506548445000253e-01
1.581741741741741635e+03,2.004657949322277144e-01
1.581841841841841870e+03,1.894819619436341196e-01
1.581941941941941877e+03,1.793185842664009877e-01
1.582042042042042112e+03,1.699027409017861701e-01
1.582142142142142120e+03,1.611685078158572315e-01
1.582242242242242355e+03,1.530563237265835652e-01
1.582342342342342363e+03,1.455123889768582812e-01
1.582442442442442371e+03,1.384881050538372127e-01
1.582542542542542606e+03,1.319395581818594010e-01
1.582642642642642613e+03,1.258270476709102415e-01
1.582742742742742848e+03,1.201146579409868437e-01
1.582842842842842856e+03,1.147698720649749926e-01
1.582942942942942864e+03,1.097632240650280450e-01
1.583043043043043099e+03,1.050679869114470311e-01
1.583143143143143106e+03,1.006598930965441618e-01
1.583243243243243342e+03,9.651688471704943095e-02
1.583343343343343349e+03,9.261889014298801959e-02
1.583443443443443357e+03,8.894762454270227492e-02
1.583543543543543592e+03,8.548641174926982500e-02
1.583643643643643600e+03,8.222002517523910314e-02
1.583743743743743835e+03,7.913454570174462133e-02
1.583843843843843842e+03,7.621723467664093254e-02
1.583943943943943850e+03,7.345642035162407157e-02
1.584044044044044085e+03,7.084139626826808922e-02
1.584144144144144093e+03,6.836233026657419221e-02
1.584244244244244328e+03,6.601018293782368040e-02
1.584344344344344336e+03,6.377663447643130978e-02
1.584444444444444343e+03,6.165401900419262976e-02
1.584544544544544578e+03,5.963526554626177173e-02
1.584644644644644586e+03,5.771384493200041460e-02
1.584744744744744821e+03,5.588372197699313648e-02
1.584844844844844829e+03,5.413931237633363980e-02
1.584944944944944837e+03,5.247544380411377218e-02
1.585045045045045072e+03,5.088732077172102020e-02
1.585145145145145079e+03,4.937049284804684302e-02
1.585245245245245314e+03,4.792082588958085365e-02
1.585345345345345322e+03,4.653447596783942541e-02
1.585445445445445557e+03,4.520786571634695383e-02
1.585545545545545565e+03,4.393766285028741919e-02
1.585645645645645573e+03,4.272076063893684439e-02
1.585745745745745808e+03,4.155426013522561801e-02
1.585845845845845815e+03,4.043545398776322852e-02
1.585945945945946050e+03,3.936181167965107502e-02
1.586046046046046058e+03,3.833096605494400871e-02
1.586146146146146066e+03,3.734070100830534644e-02
1.586246246246246301e+03,3.638894022665161571e-02
1.586346346346346309e+03,3.547373688294484795e-02
1.586446446446446544e+03,3.459326419279625670e-02
1.586546546546546551e+03,3.374580675360355081e-02
1.586646646646646559e+03,3.292975259409069294e-02
1.586746746746746794e+03,3.214358586946081814e-02
1.586846846846846802e+03,3.138588014374400076e-02
1.586946946946947037e+03,3.065529220676366240e-02
1.587047047047047045e+03,2.995055637832505155e-02
1.587147147147147052e+03,2.927047925673258513e-02
1.587247247247247287e+03,2.861393487302472255e-02
1.587347347347347295e+03,2.797986021588040259e-02
1.587447447447447530e+03,2.736725109553451649e-02
1.587547547547547538e+03,2.677515831800935525e-02
1.587647647647647545e+03,2.620268414360761577e-02
1.587747747747747781e+03,2.564897900606222594e-02
1.587847847847847788e+03,2.511323847086027738e-02
1.587947947947948023e+03,2.459470041321479630e-02
1.588048048048048031e+03,2.409264239793672963e-02
1.588148148148148266e+03,2.360637924500773310e-02
1.588248248248248274e+03,2.313526076611469029e-02
1.588348348348348281e+03,2.267866965866278950e-02
1.588448448448448517e+03,2.223601954501003980e-02
1.588548548548548524e+03,2.180675314566227901e-02
1.588648648648648759e+03,2.139034057616381532e-02
1.588748748748748767e+03,2.098627775829695064e-02
1.588848848848848775e+03,2.059408493693812639e-02
1.588948948948949010e+03,2.021330529472300727e-02
1.589049049049049017e+03,1.984350365724217927e-02
1.589149149149149252e+03,1.948426528212493514e-02
1.589249249249249260e+03,1.913519472591336534e-02
1.589349349349349268e+03,1.879591478308463917e-02
1.589449449449449503e+03,1.846606549208088324e-02
1.589549549549549511e+03,1.814530320356754628e-02
1.589649649649649746e+03,1.783329970654103439e-02
1.589749749749749753e+03,1.752974140825033084e-02
1.589849849849849761e+03,1.723432856418439033e-02
1.589949949949949996e+03,1.694677455470724320e-02
1.590050050050050004e+03,1.666680520514315922e-02
1.590150150150150239e+03,1.639415814636691754e-02
1.590250250250250247e+03,1.612858221320398466e-02
1.590350350350350254e+03,1.586983687808977278e-02
1.590450450450450489e+03,1.561769171768768484e-02
1.590550550550550497e+03,1.537192591028613449e-02
1.590650650650650732e+03,1.513232776197442377e-02
1.590750750750750740e+03,1.489869425975009001e-02
1.590850850850850748e+03,1.467083064981451745e-02
1.590950950950950983e+03,1.444855003946878685e-02
1.591051051051050990e+03,1.423167302111582808e-02
1.591151151151151225e+03,1.402002731697886417e-02
1.591251251251251233e+03,1.381344744325798887e-02
1.591351351351351241e+03,1.361177439251017550e-02
1.591451451451451476e+03,1.341485533315348901e-02
1.591551551551551483e+03,1.322254332504084300e-02
1.591651651651651719e+03,1.303469705013305877e-02
1.591751751751751726e+03,1.285118055737899563e-02
1.591851851851851961e+03,1.267186302093415741e-02
1.591951951951951969e+03,1.249661851095569889e-02
1.592052052052051977e+03,1.232532577621067542e-02
1.592152152152152212e+03,1.215786803782700071e-02
1.592252252252252219e+03,1.199413279353720753e-02
1.592352352352352455e+03,1.183401163179980710e-02
1.592452452452452462e+03,1.167740005525773166e-02
1.592552552552552470e+03,1.152419731298035162e-02
1.592652652652652705e+03,1.137430624101233405e-02
1.592752752752752713e+03,1.122763311075462497e-02
1.592852852852852948e+03,1.108408748474392497e-02
1.592952952952952955e+03,1.094358207942726542e-02
1.593053053053052963e+03,1.080603263454150628e-02
1.593153153153153198e+03,1.067135778874237113e-02
1.593253253253253206e+03,1.053947896114345098e-02
1.593353353353353441e+03,1.041032023844672312e-02
1.593453453453453449e+03,1.028380826736786068e-02
1.593553553553553456e+03,1.015987215207221801e-02
1.593653653653653691e+03,1.003844335636176061e-02
1.593753753753753699e+03,9.919455610359274172e-03
1.593853853853853934e+03,9.802844821457672511e-03
1.593953953953953942e+03,9.688548989317152457e-03
1.594054054054053950e+03,9.576508124693501253e-03
1.594154154154154185e+03,9.466664171911677236e-03
1.594254254254254192e+03,9.358960934793334255e-03
1.594354354354354427e+03,9.253344005863761018e-03
1.594454454454454435e+03,9.149760698679159504e-03
1.594554554554554670e+03,9.048159983111023208e-03
1.594654654654654678e+03,8.948492423449395938e-03
1.594754754754754686e+03,8.850710119176990673e-03
1.594854854854854921e+03,8.754766648292037004e-03
1.594954954954954928e+03,8.660617013050963750e-03
1.595055055055055163e+03,8.568217588013200131e-03
1.595155155155155171e+03,8.477526070281958190e-03
1.595255255255255179e+03,8.388501431829318428e-03
1.595355355355355414e+03,8.301103873813055548e-03
1.595455455455455422e+03,8.215294782787289571e-03
1.595555555555555657e+03,8.131036688717493965e-03
1.595655655655655664e+03,8.048293224720327182e-03
1.595755755755755672e+03,7.967029088439124551e-03
1.595855855855855907e+03,7.887210004990440754e-03
1.595955955955955915e+03,7.808802691400895842e-03
1.596056056056056150e+03,7.731774822469642157e-03
1.596156156156156158e+03,7.656094997992963884e-03
1.596256256256256165e+03,7.581732711285532091e-03
1.596356356356356400e+03,7.508658318943806781e-03
1.596456456456456408e+03,7.436843011795008819e-03
1.596556556556556643e+03,7.366258786976522671e-03
1.596656656656656651e+03,7.296878421101099868e-03
1.596756756756756658e+03,7.228675444453015568e-03
1.596856856856856894e+03,7.161624116176872924e-03
1.596956956956956901e+03,7.095699400411568068e-03
1.597057057057057136e+03,7.030876943329864015e-03
1.597157157157157144e+03,6.967133051045938663e-03
1.597257257257257152e+03,6.904444668349450469e-03
1.597357357357357387e+03,6.842789358237019205e-03
1.597457457457457394e+03,6.782145282202812174e-03
